iter	Passed	Remaining
399	23114	34671
400	23156	34590
401	23201	34513
402	23242	34430
403	23285	34351
404	23324	34266
405	23368	34189
406	23413	34112
407	23451	34027
408	23484	33934
409	23522	33849
410	23565	33771
411	23599	33680
412	23632	33589
413	23683	33522
414	23721	33439
415	23764	33361
416	23806	33283
417	23844	33200
418	23877	33109
419	23920	33032
420	23948	32936
421	23994	32864
422	24042	32795
423	24081	32715
424	24122	32636
425	24152	32543
426	24200	32474
427	24236	32391
428	24272	32306
429	24308	32223
430	24348	32144
431	24384	32060
432	24433	31994
433	24469	31911
434	24510	31835
435	24554	31763
436	24597	31689
437	24627	31599
438	24664	31518
439	24694	31429
440	24730	31347
441	24770	31271
442	24808	31192
443	24847	31114
444	24892	31045
445	24931	30968
446	24959	30878
447	25002	30806
448	25041	30730
449	25074	30646
450	25107	30563
451	25146	30487
452	25182	30407
453	25226	30338
454	25263	30260
455	25290	30171
456	25325	30090
457	25372	30025
458	25405	29944
459	25452	29879
460	25487	29799
461	25523	29722
462	25561	29647
463	25604	29577
464	25652	29514
465	25678	29425
466	25720	29354
467	25756	29279
468	25791	29200
469	25825	29122
470	25861	29046
471	25906	28979
472	25939	28900
473	25979	28829
474	26018	28757
475	26042	28668
476	26075	28590
477	26110	28514
478	26155	28448
479	26189	28372
480	26230	28302
481	26275	28238
482	26316	28169
483	26350	28092
484	26387	28019
485	26424	27946
486	26459	27872
487	26499	27802
488	26545	27739
489	26588	27673
490	26632	27608
491	26675	27542
492	26731	27490
493	26772	27422
494	26804	27345
495	26849	27282
496	26909	27234
497	26955	27172
498	26998	27107
499	27041	27041
500	27082	26974
501	27117	26901
502	27143	26819
503	27180	26748
504	27231	26692
505	27258	26611
506	27298	26544
507	27348	26487
508	27389	26421
509	27426	26350
510	27454	26272
511	27492	26203
512	27526	26131
513	27567	26065
514	27632	26022
515	27673	25957
516	27714	25892
517	27756	25827
518	27788	25754
519	27833	25692
520	27879	25632
521	27926	25572
522	27967	25507
523	28002	25437
524	28041	25370
525	28082	25306
526	28113	25232
527	28159	25172
528	28194	25103
529	28236	25040
530	28275	24974
531	28312	24906
532	28346	24836
533	28467	24842
534	28565	24827
535	28590	24750
536	28646	24698
537	28694	24641
538	28736	24577
539	28780	24516
540	28817	24449
541	28841	24371
542	28878	24305
543	28922	24244
544	28984	24197
545	29029	24138
546	29098	24098
547	29357	24214
548	29470	24209
549	29533	24163
550	29572	24097
551	29644	24058
552	29702	24008
553	29739	23941
554	29785	23881
555	29832	23822
556	29867	23754
557	29900	23684
558	29954	23631
559	30195	23725
560	30263	23681
561	30291	23607
562	30334	23545
563	30390	23493
564	30442	23438
565	30511	23395
566	30578	23351
567	30647	23309
568	30713	23264
569	30785	23224
570	30845	23174
571	30911	23129
572	30962	23073
573	31019	23021
574	31107	22992
575	31132	22917
576	31213	22882
577	31265	22827
578	31365	22806
579	31451	22775
580	31525	22735
581	31563	22669
582	31620	22616
583	31666	22556
584	31692	22482
585	31742	22425
586	31777	22358
587	31819	22295
588	31864	22234
589	31903	22170
