iter	Logloss
0	0.5660437531
1	0.4726417658
2	0.4072431364
3	0.3547350967
4	0.3213926012
5	0.2952663462
6	0.2703922187
7	0.2513630989
8	0.2381625831
9	0.224651455
10	0.2159013764
11	0.206992022
12	0.1992261623
13	0.1926469898
14	0.1891165531
15	0.1842303483
16	0.1804762756
17	0.1765795201
18	0.1737673037
19	0.1705478153
20	0.1683506187
21	0.1663469289
22	0.1639338571
23	0.1618638998
24	0.1600088115
25	0.1581319337
26	0.1563845139
27	0.1545380864
28	0.1527902507
29	0.1515812384
30	0.1503346755
31	0.1485277422
32	0.1475429991
33	0.1467547989
34	0.1457876757
35	0.1443156364
36	0.1433033714
37	0.1423378332
38	0.1413165657
39	0.1398812768
40	0.1386565339
41	0.1377367504
42	0.1369457076
43	0.1358413155
44	0.1350962669
45	0.1344506646
46	0.1336981086
47	0.1329031365
48	0.1315622134
49	0.1308072609
50	0.1299696394
51	0.1293001527
52	0.128694549
53	0.1282210809
54	0.1275276216
55	0.1270947257
56	0.1261549807
57	0.1254782472
58	0.1247243905
59	0.1242203168
60	0.1235098443
61	0.1226441555
62	0.1221211166
63	0.1216170033
64	0.1211944379
65	0.1207952114
66	0.1201995411
67	0.1198440072
68	0.1192473563
69	0.1187823017
70	0.1184418267
71	0.118003235
72	0.1175641696
73	0.1173491471
74	0.1172076823
75	0.1170481125
76	0.1166069546
77	0.1161909637
78	0.1157175712
79	0.1153858901
80	0.1148436248
81	0.1143699306
82	0.1139511453
83	0.1136457209
84	0.1131174538
85	0.1128070735
86	0.1125920645
87	0.1119137112
88	0.1116001396
89	0.1113646822
90	0.1111105648
91	0.1107837468
92	0.1102534619
93	0.1099413499
94	0.1097450587
95	0.109368937
96	0.1090391627
97	0.108785954
98	0.1085685948
99	0.1082961492
100	0.1079933356
101	0.1076957926
102	0.1072499921
103	0.1068444986
104	0.106667781
105	0.10636296
106	0.1060900977
107	0.1058730106
108	0.1055465833
109	0.1053131421
110	0.1051774093
111	0.1050275759
112	0.1046895757
113	0.1044414389
114	0.104282602
115	0.1038336949
116	0.1034925637
117	0.1031744348
118	0.1029207425
119	0.1025673919
120	0.1024879201
121	0.1022748336
122	0.1021495097
123	0.1018329588
124	0.1016671749
125	0.1014981226
126	0.1014214461
127	0.1011187191
128	0.1008966638
129	0.1007074866
130	0.1004678979
131	0.1003329007
132	0.1001093322
133	0.0998913725
134	0.09960029062
135	0.09943735611
136	0.09912126344
137	0.09898550526
138	0.09871173427
139	0.09852922628
140	0.09830391282
141	0.09793999859
142	0.09772244665
143	0.09755468888
144	0.09734841479
145	0.09722578576
146	0.09696557581
147	0.09683469806
148	0.0966445403
149	0.09644536435
150	0.09622064388
151	0.09607410649
152	0.09588624476
153	0.09572654204
154	0.09562388446
155	0.09544199491
156	0.0952589533
157	0.09504430746
158	0.09484468761
159	0.09460817725
160	0.09449465666
161	0.09434960542
162	0.09421851486
163	0.09407465467
164	0.09391780459
165	0.09363013208
166	0.09349310548
167	0.09334706517
168	0.09322198547
169	0.09304762977
170	0.09290562926
171	0.09277136926
172	0.09264803295
173	0.09251581827
174	0.09241278926
175	0.09223263579
176	0.09205575215
177	0.09195353966
178	0.09180703507
179	0.09170895125
180	0.09157011834
181	0.09143308122
182	0.09124208744
183	0.09104974028
184	0.09079918228
185	0.09067920384
186	0.09051028738
187	0.09033194689
188	0.09016656291
189	0.09005095406
190	0.08990665948
191	0.08979932324
192	0.08964210513
193	0.08948201305
194	0.08946938483
195	0.08937749692
196	0.08925114059
197	0.08907742784
198	0.08892857683
199	0.08881460772
200	0.08859886727
201	0.08845783931
202	0.08835552559
203	0.08815538483
204	0.08805150419
205	0.08804766743
206	0.08794103485
207	0.08779118757
208	0.08766101951
209	0.08752835848
210	0.08744583959
211	0.08743552527
212	0.08729239806
213	0.0870817809
214	0.08699908438
215	0.08687767313
216	0.08677819071
217	0.08667348209
218	0.08649566297
219	0.08646879884
220	0.08634239514
221	0.08625584914
222	0.08609025133
223	0.08608536525
224	0.08590519581
225	0.08583778843
226	0.08571162467
227	0.08549595379
228	0.08538445878
229	0.08532873963
230	0.08523007631
231	0.08513531406
232	0.08500713434
233	0.08494231826
234	0.08483476334
235	0.08472571208
236	0.08453698983
237	0.08435854899
238	0.0842508696
239	0.08412264982
240	0.0839689179
241	0.08380753906
242	0.08369210429
243	0.08360143447
244	0.08353722506
245	0.08346504586
